id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18488858,Short North/OSU Private Lower Level with Parking,103112768,Lauryn,,Near North/University,39.989170228207584,-83.0015469479987,Private room,45,1,60,2018-10-08,3.43,1,42
18527475,Short North Single Home Rental,15379299,Margaret,,Near North/University,39.988722561146794,-83.00676966495955,Entire home/apt,200,1,91,2018-09-17,5.29,1,70
18535724,Private queen bedroom - N. Campus,2350409,Eddie,,Near North/University,40.01113629784005,-83.00971218109312,Private room,34,7,5,2017-09-10,0.29,4,154
18540071,The highlands,128466997,Dionne,,Northland,40.068437670535666,-82.99293761093647,Entire home/apt,233,2,0,,,1,90
18548187,Downtown Studio Apartment,7389798,Alicia,,Downtown,39.96241259217242,-82.9853945329273,Entire home/apt,70,2,7,2017-11-26,0.41,1,187
18566857,Mo!,103990873,Monique & Brian,,Near South,39.95262534191649,-82.99703682116336,Entire home/apt,125,1,33,2018-09-23,2.06,4,329
18567095,Dublin Couch Bed,128903772,Christopher,,Northwest,40.08588370775262,-83.09523683255007,Shared room,75,1,0,,,1,90
18577026,Cozy Townhome Next to OSU and Short North,52670347,Pat,,Near North/University,39.99018176919298,-83.00738872404281,Entire home/apt,125,2,91,2018-10-01,5.45,4,95
18585597,"Charming, Cozy and Spacious Apartment",62376988,Cynthia,,Eastmoor/Walnut Ridge,39.961589639644416,-82.91074134712174,Entire home/apt,100,3,6,2018-06-17,0.52,1,168
18630080,Affordable Stay In The Historic German Village,95046685,Ryan,,Near South,39.9510914272635,-82.99214377431188,Entire home/apt,89,2,22,2018-09-16,1.30,1,5
18631993,Short North Studio Apt. w/Off-street Parking,71666929,August,,Near North/University,39.982927335273175,-83.00524451962423,Entire home/apt,96,1,152,2018-10-10,12.60,3,308
18735741,City Vibe (Short North/Victorian Village),51970180,Eric,,Near North/University,39.976695623850205,-83.01043574401959,Private room,89,1,76,2018-10-08,4.61,1,153
